MüştəriID,AdSoyad,DoğumTarixi,Cins,TəhsilSəviyyəsi,MəşğulluqStatusu,AylıqGəlir,KreditNövü,KreditMəbləği,KreditMəqsədi,FaizDərəcəsi,KreditSkoru,DigərKreditlərinSayı,KeçmişdəGecikmə,QaraSiyahida,MüraciətStatusu,YoxlayıcınınQeydləri
83085499,Aydan Qasımova,07-13-04,Qadın,Magistr,Tələbə,288,Təhsil krediti,1333,dövriyyə vəsaitlərinin artırılması - Biznes krediti,21.15,692.0,1,Xeyr,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
26747165,Tural Rzayev,24/12/1973,K,Bakalavr tehsili,İşləyən,3680,Nağd istehlak krediti,11291,şəxsi istehlak məqsədi,22.32,1525.0,4,Bəli,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
64397716,Aydan Əhmədova,1979-08-04,,Orta məktəb,İşsiz,295,Nağd istehlak krediti,444,məişət avadanlığı alışı,16.92,419.0,0,,Xeyr,Rədd edilib,Aşağı kredit reytinqi
47555276,Ayan Hüseynova,1980-05-24,qadin,Bakalavr,İşləyən,3512,Avtomobil krediti,33256,tibbi xərclər,19.91,1082.0,2,Xeyr,Bəli,Rədd edilib,'Qara siyahı'da olmaq
18690085,Emin Rüstəmov,1983-02-21, kişi ,Bakalavr tehsili,Sahibkar,4593,Mikro kredit,35554,əsas vəsaitlərin alınması - Biznes krediti,11.89,1247.0,2,Bəli,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır | Yoxlayıcı_ID: 613
58596955,Məryəm Səfərova,03-23-97,Qadın,Orta məktəb,İşsiz,81,Nağd istehlak krediti,840 AZN,məişət avadanlığı alışı,17.13,440.0,1,Xeyr,Xeyr,Rədd edilib,Aşağı kredit reytinqi
67362073,Cavid Məmmədov,1983-05-26,K,Magistr,İşləyən,888 manat,Nağd istehlak krediti,9865,toy xərcləri,13.17,1287.0,0,,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
76328629,Aylin Əliyeva,2001-10-17,qadin,Bakalavr,İşləyən,3682,Nağd istehlak krediti,6620,şəxsi istehlak məqsədi,11.92,841.0,3,Xeyr,Xeyr,Təsdiqlənib,Zaminlik məsələləri
27470674,Fatimə Hüseynova,14/06/2005,qadin,Magistr,Tələbə,168,Təhsil krediti,2285 manat,Biznes krediti,22.98,744.0,1,Xeyr,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
35733064,Babayev Əli,1992-04-20,K,Magistr,Sahibkar,7458,Mikro kredit,96059,əsas vəsaitlərin alınması - Biznes krediti,16.82,1501.0,2,Bəli,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
42266537,Cavid Nəsirov,06-03-91,Kişi,Bakalavr,İşləyən,2152,Nağd istehlak krediti,12513,məişət avadanlığı alışı,13.61,1308.0,4,Bəli,Xeyr,Təsdiqlənib,Müştərinin gəliri və krediti təsdiqləndi
64694544,Yusif İsmayılov,14/10/1974,,Bakalavr tehsili,İşləyən,3200,Nağd istehlak krediti,6024,məişət avadanlığı alışı,14.53,1077.0,1,Bəli,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
10589412,Vəliyeva Rəna,1985-01-14,Q,Magistr,İşləyən,1736,Nağd istehlak kriditi,15982,toy xərcləri,13.46,734.0,3,Bəli,Xeyr,Təsdiqlənib,Bütün sənədlər qaydasındadır
